nome,local,nivel,tamanho_total,tamanho_proprio,qtd_arquivos_total,qtd_arquivos_direta
AULA-09-13-08-2026,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-09-13-08-2026,4,1273757,1273757,4,4
MATERIAIS,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/MATERIAIS,3,1189654,1189654,4,4
EQUIPE_05,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_05,5,1114941,1114941,4,4
CHALKIE-AI,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/CHALKIE-AI,5,1111313,1111313,1,1
AULAS,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/AULAS,4,1092713,173423,22,21
REFORCO_MATEMATICA_E_RACIOCINIO_LOGICO,sistema/FICHA-PRODUTO-MAIS-TECH/REFORCO_MATEMATICA_E_RACIOCINIO_LOGICO,3,1028436,996710,17,16
Instrumentos de Avaliação UC Teste de Sistemas-20260721T164550Z-1-001,sistema/TECNICO-INFORMATICA-INTERNET/MATERIAIS-EXISTENTES/Teste de Sistemas/Instrumentos de Avaliação UC Teste de Sistemas-20260721T164550Z-1-001,5,989106,0,5,0
Instrumentos de Avaliação UC Teste de Sistemas,sistema/TECNICO-INFORMATICA-INTERNET/MATERIAIS-EXISTENTES/Teste de Sistemas/Instrumentos de Avaliação UC Teste de Sistemas-20260721T164550Z-1-001/Instrumentos de Avaliação UC Teste de Sistemas,6,989106,989106,5,5
aula-02-09-2026,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/aula-02-09-2026,5,936063,936063,3,3
SLIDES-CHALKIE-AI,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/AULAS/SLIDES-CHALKIE-AI,5,919290,919290,1,1
